target_account_id,target_handle,pilot_stratum
170254080,jacobin,far_left
4128420672,curaffairs,far_left
19605981,truthout,far_left
16935292,democracynow,far_left
878284831,OccupyDemocrats,far_left
1243560408025198593,MeidasTouch,far_left
15115280,PalmerReport,far_left
82689705,newrepublic,far_left
18510860,MotherJones,far_left
1947301,thenation,far_left
19211550,gatewaypundit,far_right
1408003598,FDRLST,far_right
2361224263,DailySignal,far_right
28614262,townhallcom,far_right
46520074,WesternJournalX,far_right
4081106480,realDailyWire,far_right
3135241,RedState,far_right
1209936918,OANN,far_right
10774652,theblaze,far_right
457984599,BreitbartNews,far_right
