source_url,month,bullet_ordinal,source_locator,bullet_sha256,youtube_channels_terminated,domains_blocked,ads_accounts_terminated,adsense_accounts_terminated,blogger_blogs_terminated,linked_to_phrase,ongoing_investigation,screening_status
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,April,1,April bullet 1,c507a7e00787fafd5b1bb2818d170c515d52930b97cd57e081c5c28d5955a79c,43,,,,,Turkey,false,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,April,2,April bullet 2,83c81e0a9a623aa70fbff2902ddae2f368af321a94288dc296ba246eb418bc60,6,,,,,Russia,false,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,April,3,April bullet 3,c982306e41ef2a7f78da3beeec817a5ded5d156452360da560ef45cdcfb169c4,37,,,,,Russia,false,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,April,4,April bullet 4,1572a6731880c7a5995ad44d1e0c2072373be24d35ef0290d0c557048a303d5a,22,,,,,Russia,false,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,April,5,April bullet 5,9f5788452e2539020cab61b359ce55613c2f268b349999aa5b8553f73c89b753,,1,,,,Russia,false,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,April,6,April bullet 6,00c5bfb5842e93e74419b779e0b035ffd6b85363d2f17e34306566646738a311,12,,,,,Russia,false,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,April,7,April bullet 7,3599d45304abf795477b97d73f088b24b32e41f6e1acd20f4c6c785e87f846c6,3,,,,1,Russia,false,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,April,8,April bullet 8,d12fc23b80abc186e676b0ab498dc4166969a62867c2d274bdf4400f1466e229,1045,2,,,,Russia,false,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,April,9,April bullet 9,987369ff731d8f68e25de4952eaec226675a9fef720a9b3ced0c76292d7ad263,4,,,,,Russia,false,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,April,10,April bullet 10,36e7cc0e3d342ba3d45189eee985223883899ea2b0bdc9cde594b7b6cd828b74,12,9,1,1,,Romania,false,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,April,11,April bullet 11,999758b02b3583f246d57b4ee93fd7acbb6b273778da0968fb649c8a396a0d10,,2,,,,Iran,false,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,April,12,April bullet 12,884c66b68d6874ecb307252d258568b8f2cc27823daa81d2bbaddfe89267bd08,12,,,,,Iran,false,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,April,13,April bullet 13,34f5f939fe84b57d130dbf97341f9d0818ebc9f26f5c538f6dddc9403194641b,,1,1,,,Ghana,false,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,April,14,April bullet 14,3469d4dc5f26fad1b9bc84cb028a2c8cfe089e2cb12c268357e5e87f3380cba6,356,,,,,Azerbaijan,false,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,April,15,April bullet 15,1f1a27424f8fbdb904fb1ace2ac27babd9d1c8c0f04952752b33ed14b5370a0f,4,,,,,People’s Republic of China (PRC),false,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,April,16,April bullet 16,88dd6df473d7ae69f08627e867d5cf12c871752486752fc851b290fe92e44467,1545,,,,,PRC,true,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,May,1,May bullet 1,282e7220de35b4f11710022168320229eed2a637b523a8fe436e670bcad5620e,20,,4,,1,Russia,false,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,May,2,May bullet 2,b85c33f0d8c95a8223fc33412c99f31dbfdfc68eef232f0bb6fd87cb38538969,6,,1,,,People's Republic of China (PRC),false,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,May,3,May bullet 3,832c91f0b0667040ed6eed2e356d9883a2552b9c080df2814dc942ad3229cea8,1,,,,,Russia,false,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,May,4,May bullet 4,22af30547af7a4a9a63535c957247ae0861c07a50c87cae1b9db029b9c1508e3,507,,,,,Russia,false,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,May,5,May bullet 5,b84bd4dc1b12c873f6a66351cb85f86368739ab62f1873ea3bafb5507651b183,457,,,,,Azerbaijan,false,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,May,6,May bullet 6,033a32ff675282afc773cebd5554f77dc131bc0b3e2d0f4e4840913fd7d9bea1,3592,,,,,PRC,true,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,June,1,June bullet 1,3cccf7f972005fe84131ff8379d8ff30f6b0ded0ef0d6b92d19632c9cef81d8a,2,,,,,Russia,false,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,June,2,June bullet 2,261bafd5ec32a45de2bd64fffe9b255aa2553058d139c002921040dbf33e3ddf,2,,,,,Russia,false,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,June,3,June bullet 3,9d174afb2ec454683807000ff2c03382117cfa2c46d6c55262b8903efcbf2c00,392,,,,,Russia,false,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,June,4,June bullet 4,aa911bf3af8d9b44a69def1237dbb0633eaec9cae283231ad32eff0a6121bfaf,4,,,,,Israel,false,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,June,5,June bullet 5,2e77c844c573a92fca51f9ab128467a8b4fd4ebddc93490da72fc2662a762dc1,228,,,,,Azerbaijan,false,unreviewed_platform_lead
https://blog.google/threat-analysis-group/tag-bulletin-q2-2025/,June,6,June bullet 6,9c648cf286cac9953a6f14c241408951d659efaf84f347067efbd5319992efa0,2598,1,,,,PRC,true,unreviewed_platform_lead
